date,US_1Y,US_2Y,US_3Y,US_5Y,US_10Y,US_20Y,US_30Y,DE_1Y,DE_2Y,DE_3Y,DE_5Y,DE_10Y,DE_20Y,DE_30Y,UK_1Y,UK_2Y,UK_3Y,UK_5Y,UK_10Y,UK_20Y
2011-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-26,-2.9332665402006283e-06,-8.676856516513937e-06,-1.1630420046885955e-05,-1.2449726534099955e-05,-2.2308058777804632e-05,-2.4443217281402678e-05,-2.586081020325821e-05,2.644219239385601e-05,4.1984379372948485e-05,5.02787007711018e-05,5.5929293103700246e-05,-0.26357740638671134,5.231141470878286e-05,5.3799672282720884e-05,1.8208322789903177e-05,3.2849952198584395e-05,3.976430354805118e-05,4.635910266721509e-05,4.866290729850196e-05,3.645252645219908e-05
2011-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-28,-3.2645450346444095e-06,-1.0053460689552207e-05,-1.3079959549601405e-05,-1.4548221458694714e-05,-1.762226498091932e-05,-1.6005376906115656e-05,-1.5971779269378738e-05,2.388555525737925e-05,3.925365397013459e-05,4.7056531412731966e-05,5.155665188397983e-05,4.806264820006444e-05,-0.2631757009100892,4.703145197424796e-05,1.8308301159742873e-05,3.2722778719617675e-05,3.9451104332829484e-05,4.530516999927067e-05,4.5743029151606956e-05,3.291327935671202e-05
2011-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-01,-4.3268719694006935e-06,-1.266538669278654e-05,-1.40491489405387e-05,-1.713139874896458e-05,-2.2262342356503828e-05,-2.053165532152874e-05,-1.956270315431792e-05,3.253861152431534e-05,5.081708736872408e-05,5.9365082304532816e-05,-0.2669174155421779,5.634804608900085e-05,5.364943765413876e-05,5.117264131679437e-05,1.9172719352312216e-05,3.541065903171804e-05,4.312509775668168e-05,4.984544749562586e-05,5.0110099471011715e-05,3.5946935638358414e-05
2011-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-03,-4.547454184143206e-06,-1.4289466407348911e-05,-1.53424059328509e-05,-1.7875110490019058e-05,-2.3505491107401998e-05,-2.361990914866716e-05,-2.190299687135293e-05,3.5278721961377254e-05,5.4918350914293546e-05,6.404336852066815e-05,-0.26977085825152414,6.109394495549794e-05,5.8673373504818395e-05,5.5876997325532806e-05,1.9103976996048987e-05,3.451546210144521e-05,4.154386665828908e-05,4.7552547319911115e-05,4.777890144081737e-05,3.439910857487304e-05
2011-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-07,-5.13561869578949e-06,-1.5340827632951812e-05,-1.739970732837787e-05,-1.9807466429642392e-05,-2.436071264293883e-05,-2.3074189735000612e-05,-2.0437985784090226e-05,3.570073879633845e-05,5.522620071449114e-05,6.412028650414021e-05,-0.27168601528222147,5.909854576247917e-05,5.696665951955509e-05,5.598087223232001e-05,1.983200662795071e-05,3.585369191123472e-05,4.278018497644928e-05,4.816035416352319e-05,4.752456088782762e-05,3.4844711716357616e-05
