date,cum_var,var_pc1,mean_cos_sim,min_cos_sim,r_squared,var_slope_change
2019-11-15,0.7562843336678517,0.44878827420382233,0.9999599173354216,0.9999300618307166,0.7787650911585309,0.004078930779730761
2019-11-18,0.7576758965434788,0.450397084960556,0.9999660276590095,0.9999387853678507,0.7790986006759133,0.004941296694776054
2019-11-19,0.7579421400495904,0.4512803923741136,0.9999599173354216,0.9999300618307166,0.7790986006759133,0.004953951868716389
2019-11-20,0.7594051042578676,0.4540534499168605,0.9999599173354216,0.9999300618307166,0.7790986006759133,0.005380022816036223
2019-11-21,0.7618099815145429,0.4541529358895396,0.9999599173354216,0.9999387853678507,0.7785183582690078,0.005811474509192949
2019-11-22,0.7618768046362736,0.45463524093702945,0.9999599173354216,0.9999387853678507,0.7784654545640771,0.006221667202969017
2019-11-25,0.762092796684087,0.45483963840852004,0.9999590330050762,0.9999387853678507,0.7785183582690078,0.006442361306069788
2019-11-26,0.7622496164303735,0.45483963840852004,0.9999590330050762,0.9999387853678507,0.7788858965631985,0.007066669653101654
2019-11-27,0.7622738197025385,0.4548698832280013,0.9999590330050762,0.9999300618307166,0.7790986006759133,0.007195775766944856
2019-11-28,0.7622792329468695,0.45505408646621,0.9999463137280937,0.9999013358743607,0.7796397066783172,0.00746248935315541
2019-11-29,0.7624699245895544,0.4557710674529771,0.9999463137280937,0.9999013358743607,0.7798369536496722,0.00795157858840112
2019-12-02,0.7628925460654934,0.45622352451819465,0.9999590330050762,0.9999300618307166,0.7807175224912668,0.008000359029426418
2019-12-03,0.7630113421817882,0.456396208529416,0.9999699529172732,0.9999471227277854,0.7807175224912668,0.008025770347490413
2019-12-04,0.7631480285687129,0.456557674833601,0.9999699529172732,0.9999471227277854,0.7807175224912668,0.008407451106149821
2019-12-05,0.7633776110420962,0.4566462864526392,0.9999699529172732,0.9999471227277854,0.7807175224912668,0.008423617405241224
2019-12-06,0.7636100605716708,0.45699221123327083,0.9999699529172732,0.9999471227277854,0.7807175224912668,0.008423617405241224
2019-12-09,0.763813051145933,0.4571990819918226,0.9999699529172732,0.9999471227277854,0.7807175224912668,0.008423617405241224
2019-12-10,0.7638849495449949,0.457330277097056,0.9999699529172732,0.9999471227277854,0.7816579491369114,0.008833853882543652
2019-12-11,0.7645366756228248,0.4577803882304208,0.9999656185368678,0.9999153226269282,0.7816579491369114,0.008846414176212458
2019-12-12,0.7659873258760916,0.4586674260053703,0.9999661528418112,0.9999153226269282,0.7816812712179275,0.00898064193844117
2019-12-13,0.7676877891351394,0.45969845572338897,0.9999656185368678,0.9999150936478871,0.7816812712179275,0.009126859522110564
2019-12-16,0.7680455845388465,0.45994143531466886,0.999948243795615,0.999908718972808,0.7816579491369114,0.009126859522110564
2019-12-17,0.7681476445578785,0.46125589973148046,0.9999463137280937,0.9999013358743607,0.781634910279837,0.009126859522110564
2019-12-18,0.7698063248636812,0.46149851818465704,0.9999157216402494,0.9998925898307912,0.781634910279837,0.009126859522110564
2019-12-19,0.7699758048803065,0.4619677060782622,0.9999157216402494,0.9998925898307912,0.781634910279837,0.009126859522110564
2019-12-20,0.7701519133488884,0.4619677060782622,0.9999157216402494,0.9998925898307912,0.781634910279837,0.009126859522110564
2019-12-23,0.7701804095099979,0.4623252558530067,0.999876439017445,0.9997031658847824,0.781634910279837,0.009179531098897464
2019-12-24,0.7703003974672674,0.4624633039626698,0.999876439017445,0.9997027980643789,0.781634910279837,0.009179531098897464
2019-12-25,0.7704750015104428,0.4625371029934347,0.9998321415786341,0.9996543236837366,0.781634910279837,0.009126859522110564
