date,PC1_cos,PC2_cos,PC3_cos
2005-10-12,0.999948129307389,0.9996396352081556,0.9997471340020978
2005-10-13,0.9999538368693597,0.9995223880681903,0.9996838633349706
2005-10-14,0.9999582350022929,0.9994931588244069,0.9995492599697974
2005-10-17,0.9999970169387108,0.9999767759513399,0.9999697116386872
2005-10-18,0.9998953782447968,0.9970372451101281,0.9967686242297404
2005-10-19,0.9999976815475959,0.9999949715452486,0.9999630672878851
2005-10-20,0.9999386864661688,0.9995572816116987,0.9998664598540891
2005-10-21,0.9999590695989864,0.9997363970758641,0.9994127643009231
2005-10-24,0.9999894823864753,0.9999870092590168,0.9999806967892286
2005-10-25,0.9999957675812654,0.9999373621378231,0.9999755537508166
2005-10-26,0.999946787741279,0.9993155082229384,0.9987247239602313
2005-10-27,0.9998789718317401,0.9993523162020627,0.9996725446339998
2005-10-28,0.9999570297696663,0.9997348403654351,0.9997086575742268
2005-10-31,0.9999954017487195,0.9998304584331874,0.9998372068908985
2005-11-01,0.9999825550583563,0.999754794655539,0.9998195308326476
2005-11-02,0.9999868709710996,0.9998363485292596,0.9998838281358435
2005-11-03,0.9999753583276048,0.9999010088329265,0.9998883984690912
2005-11-04,0.9999998368761276,0.9999776207009912,0.9999617043877447
2005-11-07,0.9999685913340199,0.9995809339458406,0.9998486859763299
2005-11-08,0.9999602333774738,0.9981690534369325,0.9981949803078126
2005-11-09,0.9999907463822235,0.9997120053163018,0.9996751384248843
2005-11-10,0.9998493873676879,0.9997486282277348,0.9999815056894096
2005-11-11,0.9999985278952288,0.9999703419012818,0.9999217470176536
2005-11-14,0.9999983147945543,0.9999831968183388,0.9999912255151595
2005-11-15,0.999993560620887,0.9984600945433919,0.9984697649619454
2005-11-16,0.9999324321109798,0.999082615939691,0.9981467929995718
2005-11-17,0.9994602119463152,0.9984557356830712,0.998857594736859
2005-11-18,0.9999945587369774,0.999194972149125,0.9991082332996677
2005-11-21,0.9998852384956992,0.9995629104702435,0.9996720670060564
2005-11-22,0.9999827346648849,0.9996432186019965,0.999663258952698
2005-11-23,0.9999849616622283,0.9998126463249261,0.9998222706023527
2005-11-24,0.9999950934267285,0.9999480534041234,0.9998667517639037
2005-11-25,0.9999371748849,0.9990829524739521,0.9991537080900086
2005-11-28,0.9999968900233065,0.9999960267313438,0.9998673057365093
2005-11-29,0.9999921965181733,0.9998700085449754,0.9998515267535747
2005-11-30,0.9999948348859803,0.9999885231026123,0.9998098521475745
2005-12-01,0.9999923737560059,0.9998710159951489,0.9998878730389984
2005-12-02,0.9999858846660992,0.9997069354207269,0.9995237037920135
2005-12-05,0.9999868403140393,0.999839845553433,0.9998412109477106
2005-12-06,0.9999624519370347,0.9998018012058045,0.9997030339329042
2005-12-07,0.9999905951699273,0.999925750599725,0.9999159738771553
2005-12-08,0.9999927651438312,0.9999237911986916,0.999944586359333
2005-12-09,0.9999908780525804,0.9998959827446605,0.9998244893933013
2005-12-12,0.9999790195198386,0.9999832678691967,0.9999853545123782
2005-12-13,0.9999971797560244,0.9997415193115785,0.9997798750311185
2005-12-14,0.9999984241057833,0.9999963265417646,0.9999965941150037
2005-12-15,0.9999860196082517,0.9998446550025151,0.9996791728722315
2005-12-16,0.9999988061494066,0.9999880727945821,0.9999993057037933
2005-12-19,0.9999808164813792,0.9998022281624915,0.9996235733472613
